# timestep mean_visual_torque mean_align_torque std_visual_torque std_align_torque
965000.000000 0.053554 0.426434 0.058399 0.328542
970000.000000 0.057585 0.452980 0.058056 0.351205
975000.000000 0.059029 0.441712 0.058708 0.335040
980000.000000 0.061306 0.440271 0.062236 0.329839
985000.000000 0.064612 0.432914 0.063339 0.328801
990000.000000 0.058206 0.435217 0.052912 0.349277
995000.000000 0.059674 0.449558 0.055165 0.333761
1000000.000000 0.059983 0.444124 0.061893 0.324734
1005000.000000 0.060474 0.442300 0.061556 0.341370
1010000.000000 0.059576 0.436775 0.058359 0.336494
1015000.000000 0.065197 0.451771 0.063144 0.357207
1020000.000000 0.060908 0.474857 0.059127 0.353177
1025000.000000 0.060327 0.435291 0.061272 0.337926
1030000.000000 0.060307 0.439120 0.059984 0.329035
1035000.000000 0.059150 0.470003 0.051311 0.344604
1040000.000000 0.061510 0.438478 0.061497 0.333241
1045000.000000 0.056132 0.437758 0.055428 0.311053
1050000.000000 0.061941 0.458229 0.062463 0.336234
1055000.000000 0.060604 0.451279 0.060725 0.341043
1060000.000000 0.062584 0.431915 0.059977 0.314060
1065000.000000 0.061036 0.450028 0.061795 0.357983
1070000.000000 0.060124 0.441850 0.060028 0.336402
1075000.000000 0.054383 0.424201 0.054697 0.315171
1080000.000000 0.055122 0.451508 0.054465 0.348641
1085000.000000 0.054758 0.430638 0.055485 0.331992
1090000.000000 0.055006 0.455808 0.050142 0.334380
1095000.000000 0.052186 0.422477 0.048523 0.315651
1100000.000000 0.055358 0.445060 0.052335 0.332125
1105000.000000 0.056898 0.451209 0.051982 0.339951
1110000.000000 0.053820 0.444358 0.054933 0.341904
1115000.000000 0.049265 0.449068 0.047267 0.336512
1120000.000000 0.051925 0.429297 0.046375 0.336594
1125000.000000 0.054852 0.423553 0.048340 0.321722
1130000.000000 0.051497 0.439385 0.049739 0.342360
1135000.000000 0.052645 0.463893 0.048713 0.342250
1140000.000000 0.054058 0.425123 0.051613 0.326166
1145000.000000 0.052362 0.444005 0.053811 0.337096
1150000.000000 0.054240 0.465160 0.055252 0.354494
1155000.000000 0.057264 0.455094 0.054336 0.328266
1160000.000000 0.054759 0.457890 0.057013 0.357288
1165000.000000 0.056827 0.449071 0.056007 0.328723
1170000.000000 0.054445 0.440267 0.055765 0.334380
1175000.000000 0.059617 0.463158 0.058351 0.328389
1180000.000000 0.057726 0.446178 0.061537 0.350924
1185000.000000 0.052367 0.418397 0.057028 0.310110
1190000.000000 0.060616 0.435818 0.065468 0.336345
1195000.000000 0.059411 0.448981 0.060313 0.337476
1200000.000000 0.055807 0.436851 0.056648 0.339650
1205000.000000 0.060655 0.431051 0.062340 0.315704
1210000.000000 0.055222 0.412540 0.057885 0.308990
1215000.000000 0.051535 0.452468 0.054877 0.341123
1220000.000000 0.053514 0.442305 0.054140 0.340948
1225000.000000 0.056572 0.436996 0.059713 0.338393
1230000.000000 0.059307 0.439944 0.063212 0.322664
1235000.000000 0.059499 0.431064 0.062708 0.324840
1240000.000000 0.055210 0.446003 0.055691 0.349918
1245000.000000 0.053754 0.437990 0.053128 0.324464
1250000.000000 0.057752 0.430508 0.057597 0.335727
1255000.000000 0.059460 0.427140 0.060800 0.333539
1260000.000000 0.065308 0.437229 0.071957 0.330334
1265000.000000 0.058513 0.441972 0.062140 0.317088
1270000.000000 0.057548 0.446811 0.061932 0.335207
1275000.000000 0.059727 0.437368 0.063240 0.335683
1280000.000000 0.060117 0.432635 0.062824 0.331549
1285000.000000 0.060206 0.436600 0.060539 0.329561
1290000.000000 0.055073 0.451253 0.054014 0.334928
1295000.000000 0.057139 0.445466 0.054057 0.333941
1300000.000000 0.055749 0.449373 0.052157 0.350248
1305000.000000 0.052068 0.455933 0.049714 0.327455
1310000.000000 0.054854 0.449748 0.053683 0.326313
1315000.000000 0.052440 0.421195 0.049780 0.318246
1320000.000000 0.050727 0.432467 0.051555 0.313408
1325000.000000 0.052155 0.446239 0.049986 0.340245
1330000.000000 0.052130 0.444237 0.055205 0.333937
1335000.000000 0.055324 0.416469 0.058063 0.304510
1340000.000000 0.052639 0.452064 0.054888 0.330751
1345000.000000 0.053669 0.444314 0.057300 0.333015
1350000.000000 0.063271 0.457343 0.063635 0.342017
1355000.000000 0.056687 0.450048 0.060936 0.327397
1360000.000000 0.061470 0.451090 0.062540 0.341007
1365000.000000 0.059719 0.447974 0.064321 0.335806
1370000.000000 0.058121 0.455864 0.062393 0.344351
1375000.000000 0.056544 0.444649 0.061308 0.334915
1380000.000000 0.060682 0.426041 0.062171 0.319408
1385000.000000 0.059761 0.456860 0.062056 0.349380
1390000.000000 0.057453 0.430798 0.056123 0.319596
1395000.000000 0.060645 0.475320 0.060713 0.353270
1400000.000000 0.056721 0.423277 0.055883 0.319855
1405000.000000 0.056178 0.440002 0.052549 0.321757
1410000.000000 0.054969 0.426505 0.054456 0.322991
1415000.000000 0.055363 0.466884 0.057686 0.333230
1420000.000000 0.057175 0.446764 0.058974 0.349312
1425000.000000 0.056863 0.443391 0.054349 0.322934
1430000.000000 0.058365 0.414718 0.059528 0.317832
1435000.000000 0.056232 0.465497 0.054573 0.341102
1440000.000000 0.059917 0.454135 0.060272 0.332715
1445000.000000 0.061024 0.427287 0.061740 0.317240
1450000.000000 0.062456 0.441399 0.066322 0.348270
1455000.000000 0.058349 0.462129 0.062187 0.329697
1460000.000000 0.060233 0.428409 0.062500 0.320775
1465000.000000 0.056232 0.434059 0.065847 0.333964
1470000.000000 0.056861 0.440628 0.063848 0.326076
1475000.000000 0.058175 0.453832 0.065688 0.353591
1480000.000000 0.056496 0.463183 0.056704 0.345719
1485000.000000 0.056421 0.449017 0.059246 0.321693
1490000.000000 0.058970 0.444645 0.064920 0.335474
1495000.000000 0.055254 0.438864 0.055879 0.321100
1500000.000000 0.057397 0.463588 0.066925 0.347035
1505000.000000 0.059565 0.466412 0.067475 0.345873
1510000.000000 0.056482 0.435690 0.060443 0.327608
1515000.000000 0.055739 0.456395 0.057515 0.346672
1520000.000000 0.056083 0.438091 0.059127 0.331951
1525000.000000 0.057226 0.442815 0.063697 0.330479
1530000.000000 0.058513 0.429824 0.065176 0.335650
1535000.000000 0.058809 0.433522 0.062102 0.322588
1540000.000000 0.062763 0.448116 0.067243 0.344942
1545000.000000 0.060321 0.454773 0.064782 0.334208
1550000.000000 0.057986 0.430111 0.061271 0.330464
1555000.000000 0.058953 0.450873 0.063762 0.328929
1560000.000000 0.058465 0.438277 0.056755 0.321041
1565000.000000 0.061092 0.446417 0.061528 0.325404
1570000.000000 0.063633 0.431557 0.064277 0.325537
1575000.000000 0.065754 0.441702 0.060449 0.349295
1580000.000000 0.064732 0.458329 0.067099 0.340035
1585000.000000 0.062588 0.419852 0.066455 0.323583
1590000.000000 0.059627 0.420116 0.062425 0.321349
1595000.000000 0.060471 0.447582 0.061024 0.346108
1600000.000000 0.057686 0.443159 0.059065 0.344036
1605000.000000 0.056593 0.437706 0.054897 0.331409
1610000.000000 0.061969 0.436369 0.061163 0.338423
1615000.000000 0.061969 0.453465 0.066649 0.365868
1620000.000000 0.061814 0.455296 0.064254 0.330687
1625000.000000 0.062533 0.462329 0.065306 0.352154
1630000.000000 0.059774 0.449251 0.061347 0.333347
1635000.000000 0.058025 0.414067 0.062276 0.327580
1640000.000000 0.060981 0.450024 0.067264 0.327892
1645000.000000 0.058621 0.452847 0.057494 0.331393
1650000.000000 0.057026 0.425972 0.059120 0.323123
1655000.000000 0.061792 0.450296 0.062246 0.329018
1660000.000000 0.056350 0.405989 0.057324 0.319588
1665000.000000 0.055377 0.443001 0.056126 0.326570
1670000.000000 0.058856 0.419031 0.062077 0.336814
1675000.000000 0.059515 0.436404 0.059341 0.333139
1680000.000000 0.059095 0.445719 0.064350 0.331118
1685000.000000 0.057178 0.437730 0.053870 0.331433
1690000.000000 0.058453 0.442985 0.058769 0.347412
1695000.000000 0.056301 0.432986 0.056752 0.334340
1700000.000000 0.055257 0.438041 0.055845 0.317654
1705000.000000 0.055918 0.449452 0.058144 0.330055
1710000.000000 0.055524 0.459597 0.059238 0.340951
1715000.000000 0.056723 0.442910 0.062851 0.343518
1720000.000000 0.052135 0.435421 0.053484 0.334469
1725000.000000 0.053953 0.461892 0.053111 0.333323
1730000.000000 0.050789 0.443673 0.048230 0.334364
1735000.000000 0.056835 0.419133 0.065185 0.333842
1740000.000000 0.058762 0.453808 0.059083 0.336836
1745000.000000 0.057820 0.432751 0.061972 0.342900
1750000.000000 0.060400 0.482523 0.060177 0.369749
1755000.000000 0.062985 0.447885 0.065476 0.331049
1760000.000000 0.062103 0.469613 0.061383 0.339937
1765000.000000 0.064159 0.452695 0.059199 0.335973
1770000.000000 0.063423 0.436083 0.060956 0.314013
1775000.000000 0.057278 0.442984 0.055304 0.337685
1780000.000000 0.059326 0.466861 0.059790 0.353214
1785000.000000 0.057306 0.453521 0.057429 0.332743
1790000.000000 0.057516 0.437688 0.053181 0.340156
1795000.000000 0.058765 0.439906 0.057212 0.335527
1800000.000000 0.057632 0.446195 0.053529 0.337340
1805000.000000 0.060653 0.443034 0.061936 0.336559
1810000.000000 0.058984 0.449716 0.056526 0.345895
1815000.000000 0.064709 0.459710 0.060006 0.348130
1820000.000000 0.059729 0.447350 0.064024 0.337621
1825000.000000 0.058008 0.437432 0.057505 0.327244
1830000.000000 0.058694 0.426940 0.054260 0.322432
1835000.000000 0.059215 0.444834 0.058436 0.351040
1840000.000000 0.060217 0.435418 0.060739 0.345061
1845000.000000 0.063136 0.455149 0.062394 0.328571
