# timestep mean_visual_torque mean_align_torque std_visual_torque std_align_torque
1281000.000000 0.078267 0.210643 0.067089 0.153635
1288000.000000 0.072133 0.213415 0.064294 0.159854
1295000.000000 0.072219 0.225279 0.069415 0.160124
1302000.000000 0.074969 0.211083 0.065309 0.160466
1309000.000000 0.073677 0.221400 0.071338 0.166898
1316000.000000 0.073115 0.215510 0.064014 0.160278
1323000.000000 0.075550 0.215304 0.071052 0.161932
1330000.000000 0.075076 0.219932 0.072343 0.153880
1337000.000000 0.075444 0.225363 0.065647 0.157716
1344000.000000 0.081782 0.213038 0.072161 0.154237
1351000.000000 0.075806 0.214569 0.064587 0.157964
1358000.000000 0.070097 0.212001 0.064144 0.156263
1365000.000000 0.078212 0.208191 0.072630 0.151299
1372000.000000 0.076238 0.196845 0.067669 0.152556
1379000.000000 0.073170 0.220956 0.065111 0.157271
1386000.000000 0.070818 0.209661 0.060921 0.153234
1393000.000000 0.072624 0.211263 0.063114 0.152449
1400000.000000 0.067546 0.220037 0.060874 0.163856
1407000.000000 0.070254 0.207494 0.059601 0.149783
1414000.000000 0.071877 0.206688 0.064540 0.146857
1421000.000000 0.075333 0.213481 0.066380 0.161982
1428000.000000 0.076945 0.207571 0.069407 0.160269
1435000.000000 0.076259 0.197157 0.067405 0.143722
1442000.000000 0.080194 0.211525 0.076824 0.155481
1449000.000000 0.077799 0.216531 0.067959 0.162212
1456000.000000 0.074791 0.209235 0.065482 0.150663
1463000.000000 0.071497 0.220083 0.061553 0.160677
1470000.000000 0.075485 0.204464 0.075109 0.152081
1477000.000000 0.073642 0.205574 0.065403 0.157988
1484000.000000 0.071419 0.205172 0.066034 0.155430
1491000.000000 0.077592 0.212599 0.069321 0.151794
1498000.000000 0.075964 0.212841 0.066344 0.154408
1505000.000000 0.077194 0.202399 0.073425 0.154950
1512000.000000 0.076116 0.222513 0.064465 0.162288
1519000.000000 0.071621 0.212155 0.060804 0.157591
1526000.000000 0.068850 0.208748 0.063141 0.159537
1533000.000000 0.074305 0.209126 0.068957 0.151948
1540000.000000 0.072127 0.202984 0.059533 0.153762
1547000.000000 0.075273 0.215004 0.068116 0.159248
1554000.000000 0.072119 0.205246 0.062558 0.148439
1561000.000000 0.073474 0.208166 0.065275 0.152528
1568000.000000 0.075628 0.209748 0.067631 0.155527
1575000.000000 0.069145 0.203971 0.058463 0.156624
1582000.000000 0.082321 0.212892 0.069789 0.158675
1589000.000000 0.079207 0.207321 0.069086 0.157167
1596000.000000 0.075253 0.204407 0.068505 0.153566
1603000.000000 0.075523 0.207914 0.065146 0.154833
1610000.000000 0.077610 0.219954 0.070415 0.161114
1617000.000000 0.081549 0.210869 0.072018 0.167100
1624000.000000 0.079374 0.212285 0.068242 0.158145
1631000.000000 0.077368 0.217487 0.072219 0.156188
1638000.000000 0.082603 0.218669 0.073567 0.159587
1645000.000000 0.075444 0.198869 0.066755 0.152589
1652000.000000 0.082144 0.218665 0.071501 0.153659
1659000.000000 0.080101 0.206151 0.066888 0.150188
1666000.000000 0.076500 0.205866 0.068219 0.151248
1673000.000000 0.075650 0.212520 0.070422 0.159867
1680000.000000 0.081204 0.217017 0.073544 0.160206
1687000.000000 0.082030 0.202915 0.074555 0.157562
1694000.000000 0.075735 0.209134 0.070298 0.152049
1701000.000000 0.073719 0.207391 0.064729 0.158291
1708000.000000 0.074400 0.214626 0.064002 0.161678
1715000.000000 0.078335 0.205688 0.068802 0.152150
1722000.000000 0.076752 0.205756 0.068332 0.157740
1729000.000000 0.078074 0.218356 0.065075 0.161757
1736000.000000 0.082316 0.207664 0.072326 0.146625
1743000.000000 0.080008 0.215596 0.070317 0.157154
1750000.000000 0.078322 0.213843 0.067683 0.162504
1757000.000000 0.080471 0.211461 0.078378 0.156325
1764000.000000 0.077912 0.209268 0.071786 0.148446
1771000.000000 0.074205 0.201664 0.069361 0.150619
1778000.000000 0.078735 0.208618 0.070792 0.148982
1785000.000000 0.077070 0.221094 0.067711 0.162840
1792000.000000 0.075922 0.221010 0.071000 0.155601
1799000.000000 0.077930 0.215669 0.068798 0.156355
1806000.000000 0.083185 0.209318 0.075683 0.153476
1813000.000000 0.073043 0.202245 0.067213 0.152747
1820000.000000 0.074283 0.212097 0.067563 0.141565
1827000.000000 0.077212 0.207123 0.067482 0.151366
1834000.000000 0.076612 0.214832 0.067814 0.160914
1841000.000000 0.074157 0.208773 0.068146 0.152173
1848000.000000 0.081747 0.212539 0.072998 0.159327
1855000.000000 0.084380 0.217431 0.074510 0.161085
1862000.000000 0.075648 0.202602 0.065399 0.154641
1869000.000000 0.079329 0.210320 0.066249 0.160328
1876000.000000 0.084009 0.205384 0.072706 0.145683
1883000.000000 0.082842 0.201224 0.073368 0.148577
1890000.000000 0.083876 0.216094 0.075323 0.155281
1897000.000000 0.076932 0.201280 0.072028 0.150074
1904000.000000 0.074066 0.188698 0.061359 0.150118
1911000.000000 0.078199 0.215966 0.068622 0.161155
1918000.000000 0.079234 0.207327 0.072930 0.154557
1925000.000000 0.075592 0.219858 0.067663 0.153807
1932000.000000 0.080812 0.204813 0.068549 0.154574
1939000.000000 0.078786 0.202128 0.073384 0.149965
1946000.000000 0.074220 0.212665 0.063709 0.150253
1953000.000000 0.077595 0.220215 0.068535 0.153765
1960000.000000 0.079369 0.209056 0.064541 0.156591
1967000.000000 0.081079 0.206295 0.069481 0.156903
1974000.000000 0.079437 0.217288 0.069042 0.152293
1981000.000000 0.077514 0.218346 0.065797 0.153816
1988000.000000 0.081703 0.222492 0.074228 0.158983
1995000.000000 0.076015 0.210144 0.068881 0.154216
2002000.000000 0.078147 0.212150 0.067293 0.162260
2009000.000000 0.076488 0.207421 0.066775 0.154252
2016000.000000 0.073906 0.219763 0.065885 0.166657
2023000.000000 0.084356 0.219797 0.076615 0.157909
2030000.000000 0.080823 0.215041 0.069933 0.154320
2037000.000000 0.079597 0.211477 0.067814 0.160019
