# timestep mean_visual_torque mean_align_torque std_visual_torque std_align_torque
1410000.000000 0.054574 0.209672 0.049467 0.155165
1415000.000000 0.055880 0.210940 0.051229 0.158221
1420000.000000 0.054334 0.197667 0.045903 0.150826
1425000.000000 0.063315 0.214020 0.057565 0.152764
1430000.000000 0.063019 0.209210 0.056697 0.153566
1435000.000000 0.068125 0.207943 0.062168 0.153504
1440000.000000 0.061218 0.212161 0.057883 0.147041
1445000.000000 0.061857 0.210901 0.057745 0.146455
1450000.000000 0.065239 0.208469 0.059392 0.144888
1455000.000000 0.065286 0.204025 0.059057 0.154663
1460000.000000 0.068426 0.221018 0.064139 0.156610
1465000.000000 0.064487 0.211344 0.061145 0.155196
1470000.000000 0.064670 0.204012 0.063540 0.148822
1475000.000000 0.062177 0.205684 0.060016 0.147184
1480000.000000 0.061529 0.209713 0.055388 0.151484
1485000.000000 0.063011 0.218468 0.058884 0.153629
1490000.000000 0.064009 0.216765 0.055277 0.156868
1495000.000000 0.060746 0.208975 0.053773 0.156766
1500000.000000 0.059261 0.218952 0.053750 0.160658
1505000.000000 0.061226 0.207634 0.053775 0.153535
1510000.000000 0.064266 0.214705 0.065569 0.155160
1515000.000000 0.062332 0.212010 0.056348 0.156355
1520000.000000 0.064315 0.206244 0.058429 0.155965
1525000.000000 0.068239 0.218834 0.064472 0.148912
1530000.000000 0.068810 0.222519 0.063525 0.163871
1535000.000000 0.062764 0.205978 0.059391 0.150848
1540000.000000 0.068269 0.219531 0.067859 0.160188
1545000.000000 0.066261 0.215272 0.058451 0.154004
1550000.000000 0.067115 0.202756 0.061069 0.159031
1555000.000000 0.063123 0.217675 0.061926 0.156917
1560000.000000 0.063733 0.221447 0.061305 0.159135
1565000.000000 0.066978 0.214802 0.063581 0.162187
1570000.000000 0.065961 0.216801 0.061056 0.159103
1575000.000000 0.067411 0.217324 0.065726 0.160025
1580000.000000 0.067640 0.210389 0.064150 0.159048
1585000.000000 0.065181 0.198576 0.057986 0.150189
1590000.000000 0.062203 0.216485 0.056699 0.157549
1595000.000000 0.069180 0.206670 0.063194 0.155059
1600000.000000 0.062580 0.202444 0.060976 0.149356
1605000.000000 0.064652 0.206126 0.060614 0.154246
1610000.000000 0.062724 0.202155 0.055643 0.153433
1615000.000000 0.064223 0.213320 0.062341 0.157334
1620000.000000 0.064017 0.214608 0.062204 0.156674
1625000.000000 0.064277 0.201256 0.058762 0.151952
1630000.000000 0.064919 0.210565 0.059599 0.152084
1635000.000000 0.065640 0.212100 0.061220 0.156075
1640000.000000 0.063269 0.214969 0.056098 0.155208
